Symbol,Sector,Current_Price,Accumulation_Score,Bullish_Probability,Volume_Accumulation,Consolidation_Periods,Technical_Signals,Breakout_Signals,Current_RSI,Price_vs_200MA,Volume_Ratio,Bullish_Engulfing,Bearish_Engulfing,Hammer_Pattern,Doji_Pattern,Data_Years
CLEAN.NS,UNKNOWN,1445.199951171875,0.206,0.25,0.354,1,3,0,55.19,-7.22,0.71,9,16,4,16,4.0
AGRITECH.NS,UNKNOWN,147.4499969482422,0.604,0.75,0.348,0,22,35,42.5,4.72,1.22,22,28,15,63,11.5
CARERATING.NS,UNKNOWN,1793.5999755859375,0.669,0.5,0.429,1,24,32,65.26,109.85,0.54,29,42,9,81,12.6
TECHM.NS,TECH,1563.699951171875,0.733,0.75,0.376,3,32,63,51.64,23.97,1.4,42,54,17,112,19.0
INDUSTOWER.NS,UNKNOWN,406.25,0.632,0.5,0.44,0,15,30,57.51,56.86,0.43,21,46,8,89,12.6
HCLTECH.NS,TECH,1531.9000244140625,0.787,0.75,0.423,4,15,64,42.27,22.16,1.97,40,68,25,126,20.1
EICHERMOT.NS,AUTO,5650.0,0.71,0.5,0.435,2,25,79,59.38,50.03,0.86,46,69,24,118,20.1
APLLTD.NS,UNKNOWN,1036.0,0.703,0.5,0.411,2,19,41,57.79,30.18,0.58,29,40,15,113,13.9
EXIDEIND.NS,UNKNOWN,381.54998779296875,0.702,0.5,0.405,2,25,48,48.82,35.83,0.56,45,72,29,123,20.1
HAVELLS.NS,UNKNOWN,1532.5999755859375,0.745,0.5,0.416,3,23,72,46.46,9.31,0.83,46,69,22,141,20.1
FINCABLES.NS,UNKNOWN,948.5499877929688,0.617,0.5,0.389,0,32,70,46.95,13.21,0.22,35,68,25,122,20.1
ACC.NS,UNKNOWN,1978.800048828125,0.831,0.25,0.437,6,29,37,51.01,-7.93,0.56,46,56,26,104,20.1
GHCL.NS,UNKNOWN,597.5296020507812,0.644,0.5,0.346,1,29,43,48.73,12.13,1.1,32,78,16,129,20.1
CONCOR.NS,UNKNOWN,621.0499877929688,0.664,0.25,0.414,1,33,34,50.7,-12.89,0.42,38,75,18,134,20.1
UPL.NS,CHEMICALS,692.6500244140625,0.67,0.5,0.435,1,27,47,62.87,8.47,1.09,55,76,33,113,20.1
3MINDIA.NS,UNKNOWN,30000.0,0.708,0.5,0.425,2,38,56,52.34,9.75,0.89,51,52,21,151,20.1
GRASIM.NS,UNKNOWN,2766.300048828125,0.798,0.75,0.461,4,33,65,56.25,36.87,1.37,42,59,19,118,20.1
GLENMARK.NS,PHARMA,2226.699951171875,0.648,0.5,0.493,0,37,62,79.77,155.56,1.96,46,75,18,124,20.1
PVRINOX.NS,UNKNOWN,976.1500244140625,0.316,0.25,0.32,2,7,0,43.56,0.0,0.88,8,10,2,13,2.7
ALLCARGO.NS,UNKNOWN,37.36000061035156,0.607,0.5,0.356,0,35,26,52.13,-46.08,1.95,42,68,21,137,19.2
ALKEM.NS,UNKNOWN,5018.7001953125,0.686,0.5,0.419,2,9,32,50.24,21.73,0.87,24,27,9,61,9.6
ASHOKLEY.NS,AUTO,123.75,0.681,0.5,0.47,1,32,66,64.95,52.86,0.82,28,76,26,110,20.1
DLF.NS,REALTY,847.0499877929688,0.625,0.5,0.415,0,25,47,58.77,47.52,0.67,37,63,19,105,18.1
CAPLIPOINT.NS,UNKNOWN,2109.5,0.623,0.5,0.411,0,11,28,53.78,74.95,0.43,24,45,11,62,11.1
POWERGRID.NS,ENERGY,296.6000061035156,0.832,0.5,0.439,11,18,31,50.72,40.76,0.46,47,56,17,107,17.9
BRITANNIA.NS,FMCG,5807.5,0.837,0.5,0.457,6,19,72,66.54,29.07,0.51,44,67,21,136,20.1
DHANI.NS,UNKNOWN,65.1500015258789,0.615,0.5,0.383,0,56,65,50.2,2.6,0.47,32,72,19,91,20.1
ABCAPITAL.NS,UNKNOWN,269.0,0.641,0.25,0.469,0,17,14,75.89,63.19,0.31,8,39,6,53,7.9
COALINDIA.NS,METALS,385.8999938964844,0.764,0.5,0.346,4,14,27,46.39,38.28,0.62,20,52,15,69,14.8
TATASTEEL.NS,METALS,159.89999389648438,0.664,0.5,0.413,1,37,59,59.96,30.25,0.43,40,63,24,102,20.1
AMBER.NS,UNKNOWN,7594.0,0.635,0.5,0.449,0,10,27,64.9,104.06,0.74,14,27,6,46,7.5
FINEORG.NS,UNKNOWN,5431.89990234375,0.591,0.5,0.37,1,7,17,67.37,15.89,0.82,14,25,9,51,7.1
AUROPHARMA.NS,PHARMA,1154.199951171875,0.617,0.5,0.39,0,35,90,48.22,31.26,0.49,44,71,26,112,20.1
PETRONET.NS,UNKNOWN,310.8999938964844,0.693,0.75,0.378,2,29,45,53.71,28.52,1.31,46,76,26,125,20.1
METROPOLIS.NS,UNKNOWN,1961.9000244140625,0.603,0.75,0.342,0,10,8,63.79,8.66,3.89,14,27,4,38,6.3
JHS.NS,UNKNOWN,13.039999961853027,0.634,0.25,0.313,1,41,36,39.43,-40.35,1.04,37,47,11,118,18.8
AMBUJACEM.NS,UNKNOWN,594.5999755859375,0.746,0.5,0.421,3,32,49,59.21,24.14,0.57,33,72,31,113,20.1
ESCORTS.NS,AUTO,3410.89990234375,0.629,0.5,0.431,0,32,76,53.77,30.79,0.59,26,59,29,100,20.1
JSL.NS,UNKNOWN,678.8499755859375,0.604,0.5,0.347,0,38,57,54.21,59.31,0.5,40,67,12,138,20.1
GODREJCP.NS,FMCG,1278.199951171875,0.669,0.5,0.428,1,19,45,58.49,23.68,0.53,45,82,24,122,20.1
HFCL.NS,UNKNOWN,82.61000061035156,0.586,0.25,0.287,0,32,40,44.06,-3.14,0.36,30,74,8,111,20.1
HUDCO.NS,UNKNOWN,229.24000549316406,0.6,0.5,0.332,0,15,23,52.45,94.68,0.38,4,25,7,47,8.2
AUBANK.NS,UNKNOWN,796.9500122070312,0.689,0.25,0.496,1,11,15,71.13,23.43,0.53,17,25,9,52,8.1
INDIACEM.NS,UNKNOWN,350.75,0.673,0.5,0.445,1,33,36,59.25,41.95,0.32,47,59,29,110,20.1
